"date","tipo_refeicao","restaurante_utilizado","categoria_padrao","categoria_vegano","dia_semana","mes","almoco","periodo_semestre","quantidade","feriado_dummy"
2024-05-03,"Jantar","RU","frango","leguminosas","sex","mai","0","meio",2312,0
2024-05-03,"Jantar","RA","frango","leguminosas","sex","mai","0","meio",640,0
2024-05-03,"Jantar","RS","frango","leguminosas","sex","mai","0","meio",727,0
2024-05-06,"Almoço","RU","frango","pts_proteina_texturizada","seg","mai","1","meio",4024,0
2024-05-06,"Almoço","RA","frango","pts_proteina_texturizada","seg","mai","1","meio",1380,0
2024-05-06,"Almoço","RS","frango","pts_proteina_texturizada","seg","mai","1","meio",1879,0
2024-05-06,"Jantar","RU","bovino","leguminosas","seg","mai","0","meio",3232,0
2024-05-06,"Jantar","RA","bovino","leguminosas","seg","mai","0","meio",896,0
2024-05-06,"Jantar","RS","bovino","leguminosas","seg","mai","0","meio",1341,0
2024-05-07,"Almoço","RU","suino","leguminosas","ter","mai","1","meio",4077,0
2024-05-07,"Almoço","RA","suino","leguminosas","ter","mai","1","meio",1439,0
2024-05-07,"Almoço","RS","suino","pts_proteina_texturizada","ter","mai","1","meio",1991,0
2024-05-07,"Jantar","RU","frango","leguminosas","ter","mai","0","meio",2884,0
2024-05-07,"Jantar","RA","frango","leguminosas","ter","mai","0","meio",864,0
2024-05-07,"Jantar","RS","frango","leguminosas","ter","mai","0","meio",1134,0
2024-05-08,"Almoço","RU","frango","leguminosas","qua","mai","1","meio",4330,0
2024-05-08,"Almoço","RA","frango","leguminosas","qua","mai","1","meio",1353,0
2024-05-08,"Almoço","RS","frango","leguminosas","qua","mai","1","meio",1962,0
2024-05-08,"Jantar","RU","suino","pts_proteina_texturizada","qua","mai","0","meio",2850,0
2024-05-08,"Jantar","RA","suino","pts_proteina_texturizada","qua","mai","0","meio",866,0
2024-05-08,"Jantar","RS","suino","pts_proteina_texturizada","qua","mai","0","meio",1078,0
2024-05-09,"Almoço","RU","bovino","leguminosas","qui","mai","1","meio",4021,0
2024-05-09,"Almoço","RA","bovino","leguminosas","qui","mai","1","meio",1334,0
2024-05-09,"Almoço","RS","bovino","leguminosas","qui","mai","1","meio",1840,0
2024-05-09,"Jantar","RU","frango","leguminosas","qui","mai","0","meio",2784,0
2024-05-09,"Jantar","RA","frango","leguminosas","qui","mai","0","meio",789,0
2024-05-09,"Jantar","RS","frango","leguminosas","qui","mai","0","meio",968,0
2024-05-10,"Almoço","RU","peixe","leguminosas","sex","mai","1","meio",2250,0
2024-05-10,"Almoço","RA","peixe","leguminosas","sex","mai","1","meio",682,0
2024-05-10,"Almoço","RS","peixe","leguminosas","sex","mai","1","meio",836,0
2024-05-10,"Jantar","RU","bovino","pts_proteina_texturizada","sex","mai","0","meio",1792,0
2024-05-10,"Jantar","RA","bovino","pts_proteina_texturizada","sex","mai","0","meio",487,0
2024-05-10,"Jantar","RS","bovino","pts_proteina_texturizada","sex","mai","0","meio",485,0
2024-05-13,"Almoço","RU","frango","leguminosas","seg","mai","1","meio",3778,0
2024-05-13,"Almoço","RA","frango","leguminosas","seg","mai","1","meio",1338,0
2024-05-13,"Almoço","RS","frango","leguminosas","seg","mai","1","meio",1792,0
2024-05-13,"Jantar","RU","bovino","pts_proteina_texturizada","seg","mai","0","meio",2672,0
2024-05-13,"Jantar","RA","bovino","pts_proteina_texturizada","seg","mai","0","meio",709,0
